epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,26103.5,0.8512,0.61752,1.37031,0.94187,0.84542,0.94103,0.76707,0.75601,0.45688,1.51087,0.003367,0.003367,0.003367
69,26517.4,0.8434,0.61024,1.36312,0.94282,0.84532,0.94117,0.76752,0.75456,0.45595,1.51802,0.003268,0.003268,0.003268
70,26943.5,0.84408,0.60844,1.36505,0.94334,0.84543,0.94127,0.76795,0.75332,0.45508,1.5241,0.003169,0.003169,0.003169
71,27357.5,0.83531,0.6051,1.36021,0.94344,0.84549,0.94143,0.76862,0.75212,0.45441,1.52685,0.00307,0.00307,0.00307
72,27771.1,0.83435,0.60335,1.35428,0.94287,0.84559,0.94168,0.76928,0.75074,0.45369,1.5324,0.002971,0.002971,0.002971
73,28190.9,0.83146,0.6052,1.35284,0.94248,0.846,0.94179,0.76985,0.74917,0.45286,1.53851,0.002872,0.002872,0.002872
74,28622.1,0.82865,0.59926,1.34922,0.94248,0.84621,0.94188,0.77011,0.74855,0.45231,1.53421,0.002773,0.002773,0.002773
75,29046.3,0.82688,0.59832,1.35513,0.94121,0.84638,0.94204,0.77046,0.7477,0.45183,1.53125,0.002674,0.002674,0.002674
76,29468.9,0.82442,0.59481,1.34899,0.94135,0.8467,0.94214,0.77093,0.74698,0.45143,1.52918,0.002575,0.002575,0.002575
77,29874.4,0.81986,0.59302,1.34417,0.94196,0.84635,0.94226,0.77122,0.74602,0.4509,1.52852,0.002476,0.002476,0.002476
78,30281.6,0.81918,0.59057,1.34408,0.94102,0.84752,0.9423,0.7718,0.74453,0.45008,1.53809,0.002377,0.002377,0.002377
79,30691.8,0.81968,0.59504,1.34166,0.94329,0.8466,0.94245,0.77241,0.74396,0.4506,1.54706,0.002278,0.002278,0.002278
80,31113.2,0.81439,0.59177,1.34028,0.94365,0.84663,0.94255,0.7726,0.74295,0.45,1.54678,0.002179,0.002179,0.002179
81,31525.9,0.80975,0.58705,1.33728,0.94335,0.84745,0.9427,0.77301,0.74234,0.44952,1.54317,0.00208,0.00208,0.00208
82,31952.1,0.80943,0.58699,1.33197,0.94112,0.84975,0.94278,0.77331,0.74151,0.44913,1.54363,0.001981,0.001981,0.001981
83,32368.2,0.80712,0.58404,1.33527,0.94113,0.84953,0.94286,0.77373,0.74089,0.44862,1.54187,0.001882,0.001882,0.001882
84,32790.5,0.80729,0.5855,1.33055,0.94116,0.84983,0.94293,0.77373,0.74043,0.44827,1.53806,0.001783,0.001783,0.001783
85,33139.4,0.80637,0.58281,1.33598,0.94145,0.85004,0.94307,0.77403,0.74002,0.44797,1.53401,0.001684,0.001684,0.001684
86,33535.8,0.80078,0.58237,1.33029,0.94235,0.84996,0.94319,0.77438,0.73962,0.44765,1.52856,0.001585,0.001585,0.001585
87,33945.4,0.79859,0.57901,1.32822,0.94383,0.84896,0.94336,0.77471,0.73896,0.44733,1.52488,0.001486,0.001486,0.001486
88,34371.8,0.79559,0.57691,1.32468,0.94404,0.84918,0.94347,0.77512,0.73821,0.4469,1.52334,0.001387,0.001387,0.001387
89,34721,0.79637,0.57704,1.32345,0.94345,0.84965,0.94362,0.77553,0.73727,0.44639,1.52509,0.001288,0.001288,0.001288
90,35100.9,0.79167,0.5722,1.3247,0.94297,0.85042,0.94373,0.77579,0.73666,0.44609,1.52223,0.001189,0.001189,0.001189
91,35573.8,0.74451,0.46874,1.40087,0.94277,0.85062,0.94382,0.77597,0.73591,0.44567,1.52098,0.00109,0.00109,0.00109
92,35885,0.73693,0.46657,1.38949,0.94247,0.85112,0.94389,0.77631,0.73515,0.44521,1.52354,0.000991,0.000991,0.000991
93,36276.6,0.73192,0.46246,1.37695,0.94116,0.8526,0.94389,0.77674,0.73399,0.44473,1.52907,0.000892,0.000892,0.000892
94,36686.3,0.73253,0.46395,1.37904,0.94092,0.85266,0.94395,0.77717,0.73281,0.44416,1.53644,0.000793,0.000793,0.000793
95,37056.7,0.72725,0.45685,1.3745,0.94086,0.85275,0.94401,0.77759,0.73187,0.44373,1.5354,0.000694,0.000694,0.000694
96,37432.6,0.72469,0.45721,1.37496,0.94143,0.85246,0.94407,0.77799,0.73074,0.44311,1.54011,0.000595,0.000595,0.000595
97,37792.7,0.72361,0.45823,1.36942,0.94129,0.85247,0.94419,0.77833,0.72965,0.44257,1.54612,0.000496,0.000496,0.000496
98,38173.9,0.72175,0.45505,1.36528,0.94125,0.85245,0.94426,0.77878,0.72868,0.44209,1.54981,0.000397,0.000397,0.000397
99,38540.1,0.72052,0.45628,1.36349,0.94165,0.85235,0.94428,0.77922,0.72738,0.44155,1.55746,0.000298,0.000298,0.000298
100,38933.8,0.71806,0.45511,1.36257,0.94157,0.85255,0.9444,0.77963,0.72617,0.44088,1.56497,0.000199,0.000199,0.000199
